USERNAME;ARTWORK_ID;TIMEDIFF_SECS
0;835667843;50.0
0;835668193;5.0
0;835668894;39.0
0;835669693;51.0
0;835669743;20.0
0;835669795;111.0
0;835669892;20.0
0;835669896;3.0
0;835669897;54.0
0;835670201;59.0
0;835670228;1.0
0;835670229;81.0
0;835670233;5.0
0;835670247;5.0
0;835670250;84.0
0;835670274;2.0
0;835670289;8.0
0;835670292;84.0
0;835670302;42.0
0;835670335;3.0
0;835670343;30.0
0;835670349;3.0
0;835670364;17.0
0;835670377;23.0
0;835670393;14.0
0;835670397;56.0
0;835670411;36.0
0;835670428;64.0
0;835670436;41.0
0;835670469;622.0
0;835670549;33.0
0;835670550;68.0
0;835670571;16.0
0;835670578;2.0
0;835670609;52.0
0;835670614;19.0
0;835670625;37.0
0;835670694;6.0
0;835670698;48.0
0;835670721;3.0
0;835670723;40.0
0;835670731;58.0
0;835670760;49.0
0;835670783;6.0
0;835670793;17.0
0;835670847;47.0
0;835670867;43.0
0;835670868;1.0
0;835670885;40.0
0;835670903;76.0
0;835670930;16.0
0;835670975;23.0
0;835671012;8.0
0;835671023;26.0
0;835671026;32.0
0;835671104;41.0
0;835671108;1.0
0;835671215;5.0
0;835671221;2.0
0;835671304;42.0
0;835671306;17.0
0;835671323;38.0
0;835671338;45.0
0;835671343;3.0
0;835671404;3.0
0;835671410;110.0
0;835671418;2.0
0;835671420;4.0
0;835671449;54.0
0;835671453;4.0
0;835671454;2.0
0;835671465;3.0
0;835671466;2.0
0;835671492;4.0
0;835671495;2.0
0;835671642;21.0
0;835671746;4.0
0;835671748;21.0
0;835671752;2.0
0;835671756;0.0
0;835671797;1.0
0;835671799;25.0
0;835671805;4.0
0;835671806;118.0
0;835671812;35.0
0;835671847;3.0
0;835671852;7.0
0;835671857;2.0
0;835671861;2.0
0;835671953;650.0
0;835671998;36.0
0;835672001;2.0
0;835672002;4.0
1;835668747;13.0
1;835668795;17.0
1;835668895;27.0
1;835668942;28.0
1;835668992;11.0
1;835669092;18.0
1;835669693;37.0
1;835670245;20.0
1;835670246;32.0
1;835670442;21.0
1;835670492;18.0
1;835670570;6.0
1;835670572;22.0
1;835670585;30.0
1;835670587;18.0
1;835670609;7.0
1;835670613;8.0
1;835670698;13.0
1;835670747;42.0
1;835670748;31.0
1;835670749;21.0
1;835670750;49.0
1;835670752;9.0
1;835670792;31.0
1;835670793;36.0
1;835671016;12.0
1;835671017;16.0
1;835671025;41.0
1;835671193;15.0
1;835671194;29.0
1;835671195;13.0
1;835671244;10.0
1;835671360;13.0
1;835671361;15.0
1;835671399;12.0
1;835671400;19.0
1;835671401;14.0
1;835671402;57.0
1;835671445;28.0
1;835671746;45.0
1;835671748;33.0
1;835671749;41.0
1;835672551;55.0
1;835672552;52.0
1;835672594;22.0
1;835672595;18.0
1;835672642;4.0
1;835672701;27.0
1;835672702;24.0
1;835672705;10.0
1;835672751;10.0
1;835672753;3.0
1;835672757;38.0
1;835672799;35.0
1;835672800;18.0
1;835672804;26.0
1;835672805;11.0
1;835672806;2.0
1;835672999;21.0
1;835673003;26.0
1;835673047;31.0
1;835673048;13.0
1;835673049;17.0
1;835673050;13.0
1;835673055;18.0
1;835673093;22.0
1;835673097;20.0
1;835673101;84.0
1;835673102;7.0
1;835673103;35.0
1;835673104;10896.0
1;835673243;47.0
1;835673599;4.0
1;835673601;34.0
1;835673602;12.0
1;835673693;25.0
1;835674052;15.0
1;835674099;13.0
1;835674154;15.0
1;835674157;6.0
2;835668697;4.0
2;835668748;26.0
2;835668793;13.0
2;835669042;7.0
2;835669953;4.0
2;835670231;14.0
2;835670426;5.0
2;835670482;9.0
2;835670523;3.0
2;835670536;4.0
2;835670551;21.0
2;835670582;11.0
2;835670584;6.0
2;835670627;28.0
2;835670775;13.0
2;835670861;50.0
2;835670867;10.0
2;835670917;6.0
2;835670926;15.0
2;835670927;9.0
2;835670950;15.0
2;835670959;8.0
2;835670965;10.0
2;835670970;6.0
2;835670971;5.0
2;835670975;7.0
2;835671009;24.0
2;835671060;12.0
2;835671104;15.0
2;835671255;8.0
2;835671344;13.0
2;835671416;10.0
2;835671593;15.0
2;835671753;4.0
2;835671755;50.0
2;835671796;3.0
2;835671809;7.0
2;835671810;15.0
2;835671846;9.0
2;835672192;6.0
2;835672242;15.0
2;835672293;5.0
2;835672492;7.0
2;835672549;7.0
2;835672595;1.0
2;835672743;12.0
2;835672744;18.0
2;835672806;9.0
2;835673046;3.0
2;835673607;9.0
2;835673608;12.0
2;835673617;9.0
2;835673765;3.0
2;835673792;10.0
2;835673864;8.0
2;835673867;7.0
2;835673911;14.0
2;835673965;28.0
2;835674059;11.0
2;835674114;9.0
2;835674153;4.0
3;835667893;42.0
3;835668092;4.0
3;835669953;2.0
3;835670254;19.0
3;835670302;838.0
3;835670495;26.0
3;835670725;16.0
3;835670857;44.0
3;835670902;14.0
3;835670928;6.0
3;835670946;9.0
3;835670979;45.0
3;835671206;17.0
3;835671809;3.0
3;835672644;2.0
3;835673013;20.0
3;835674076;12.0
3;835674512;6.0
